E_low_eV,E_high_eV,E_mid_eV,flux_mean,flux_std
1.3735504374e+02,1.4551483399e+02,1.4137608138e+02,1.1775250861e-02,7.8964942158e-05
1.4551483399e+02,1.5415936928e+02,1.4977474763e+02,1.1873958862e-02,9.8998790515e-05
1.5415936928e+02,1.6331744666e+02,1.5867234973e+02,1.2117626555e-02,8.1607971961e-05
1.6331744666e+02,1.7301957388e+02,1.6809852774e+02,1.2485611374e-02,9.5071219221e-05
1.7301957388e+02,1.8329807108e+02,1.7808468253e+02,1.2553485521e-02,1.1177202882e-04
1.8329807108e+02,1.9418717841e+02,1.8866408040e+02,1.3050143931e-02,9.2824837209e-05
1.9418717841e+02,2.0572317012e+02,1.9987196387e+02,1.3154445327e-02,8.5706626070e-05
2.0572317012e+02,2.1794447538e+02,2.1174566910e+02,1.3316368393e-02,9.2684779139e-05
2.1794447538e+02,2.3089180630e+02,2.2432475029e+02,1.3780598729e-02,8.6020358169e-05
2.3089180630e+02,2.4460829358e+02,2.3765111138e+02,1.3919805340e-02,9.0137971820e-05
2.4460829358e+02,2.5913963014e+02,2.5176914570e+02,1.4208273660e-02,1.0173445891e-04
2.5913963014e+02,2.7453422338e+02,2.6672588384e+02,1.4262429749e-02,1.0083016074e-04
2.7453422338e+02,2.9084335641e+02,2.8257115029e+02,1.4879976906e-02,1.0262680571e-04
2.9084335641e+02,3.0812135887e+02,2.9935772947e+02,1.5297319630e-02,1.0277976895e-04
3.0812135887e+02,3.2642578798e+02,3.1714154153e+02,1.5293825148e-02,1.1840680205e-04
3.2642578798e+02,3.4581762020e+02,3.3598182863e+02,1.5485623176e-02,9.9148226962e-05
3.4581762020e+02,3.6636145440e+02,3.5594135232e+02,1.6045427850e-02,1.1022162137e-04
3.6636145440e+02,3.8812572707e+02,3.7708660260e+02,1.6338802207e-02,1.2082019735e-04
3.8812572707e+02,4.1118294024e+02,3.9948801940e+02,1.6655207645e-02,1.0065437515e-04
