E_low_eV,E_high_eV,E_mid_eV,flux_mean,flux_std
1.4467750229e+01,1.5327229460e+01,1.4891290324e+01,5.4511673099e-03,6.1181734158e-05
1.5327229460e+01,1.6237767392e+01,1.5775930614e+01,5.5236725536e-03,5.1936118690e-05
1.6237767392e+01,1.7202397248e+01,1.6713124337e+01,5.7018593049e-03,6.3651173826e-05
1.7202397248e+01,1.8224332443e+01,1.7705993512e+01,5.7538565345e-03,5.2977195133e-05
1.8224332443e+01,1.9306977289e+01,1.8757845627e+01,5.8249730529e-03,6.6885460429e-05
1.9306977289e+01,2.0453938338e+01,1.9872184655e+01,5.9010279649e-03,7.1595241242e-05
2.0453938338e+01,2.1669036394e+01,2.1052722728e+01,6.0422731878e-03,5.9989760041e-05
2.1669036394e+01,2.2956319242e+01,2.2303392503e+01,6.2889897575e-03,6.1458151925e-05
2.2956319242e+01,2.4320075133e+01,2.3628360264e+01,6.3374180209e-03,6.5227682350e-05
2.4320075133e+01,2.5764847065e+01,2.5032039797e+01,6.4802921875e-03,6.6282532222e-05
2.5764847065e+01,2.7295447924e+01,2.6519107099e+01,6.5891054161e-03,6.1298569395e-05
2.7295447924e+01,2.8916976510e+01,2.8094515950e+01,6.7385880999e-03,7.1094639622e-05
2.8916976510e+01,3.0634834527e+01,2.9763514416e+01,6.9516818585e-03,6.6067533183e-05
3.0634834527e+01,3.2454744574e+01,3.1531662336e+01,7.0418940849e-03,7.6224848895e-05
3.2454744574e+01,3.4382769211e+01,3.3404849835e+01,7.0859814326e-03,6.4314512931e-05
3.4382769211e+01,3.6425331154e+01,3.5389316955e+01,7.2357207026e-03,6.9953091462e-05
3.6425331154e+01,3.8589234670e+01,3.7491674434e+01,7.5355132250e-03,7.9451896016e-05
3.8589234670e+01,4.0881688244e+01,3.9718925733e+01,7.6141322417e-03,7.6040816531e-05
4.0881688244e+01,4.3310328592e+01,4.2078490363e+01,7.6703845560e-03,7.6914913247e-05
4.3310328592e+01,4.5883246101e+01,4.4578228604e+01,7.8436597428e-03,7.0645315820e-05
4.5883246101e+01,4.8609011781e+01,4.7226467688e+01,8.1066662393e-03,8.1883851397e-05
4.8609011781e+01,5.1496705816e+01,5.0032029538e+01,8.2790249349e-03,8.4328061768e-05
5.1496705816e+01,5.4555947812e+01,5.3004260159e+01,8.4747455164e-03,9.0266111411e-05
5.4555947812e+01,5.7796928842e+01,5.6153060767e+01,8.4303748972e-03,7.4869527007e-05
5.7796928842e+01,6.1230445396e+01,5.9488920779e+01,8.6523156170e-03,7.0813938164e-05
6.1230445396e+01,6.4867935348e+01,6.3022952750e+01,9.0387990548e-03,7.1666905375e-05
6.4867935348e+01,6.8721516054e+01,6.6766929392e+01,9.2747790385e-03,7.5539175684e-05
6.8721516054e+01,7.2804024723e+01,7.0733322796e+01,9.2082704731e-03,8.2816373169e-05
7.2804024723e+01,7.7129061176e+01,7.4935345977e+01,9.6601566270e-03,8.1782055846e-05
7.7129061176e+01,8.1711033155e+01,7.9386996888e+01,9.5896267061e-03,9.2259730023e-05
8.1711033155e+01,8.6565204313e+01,8.4103105054e+01,9.9258339702e-03,8.8029228683e-05
8.6565204313e+01,9.1707745067e+01,8.9099380968e+01,1.0020820547e-02,8.2869438731e-05
9.1707745067e+01,9.7155786463e+01,9.4392468432e+01,1.0306706660e-02,9.3368716268e-05
9.7155786463e+01,1.0292747724e+02,1.0000000000e+02,1.0425272121e-02,8.7656939410e-05
1.0292747724e+02,1.0904204430e+02,1.0594065571e+02,1.0577828643e-02,1.0096958157e-04
1.0904204430e+02,1.1551985673e+02,1.1223422533e+02,1.0916713027e-02,7.2785991657e-05
1.1551985673e+02,1.2238249370e+02,1.1890167424e+02,1.0969714562e-02,7.9250500277e-05
1.2238249370e+02,1.2965281630e+02,1.2596521335e+02,1.1125681492e-02,7.2212573666e-05
1.2965281630e+02,1.3735504374e+02,1.3344837299e+02,1.1614610673e-02,9.6629413757e-05
1.3735504374e+02,1.4551483399e+02,1.4137608138e+02,1.1879163207e-02,8.9014625314e-05
1.4551483399e+02,1.5415936928e+02,1.4977474763e+02,1.2004035982e-02,8.8983054064e-05
1.5415936928e+02,1.6331744666e+02,1.5867234973e+02,1.2309387225e-02,9.1259708280e-05
1.6331744666e+02,1.7301957388e+02,1.6809852774e+02,1.2617002406e-02,9.1609696727e-05
1.7301957388e+02,1.8329807108e+02,1.7808468253e+02,1.2568307686e-02,9.7398578819e-05
1.8329807108e+02,1.9418717841e+02,1.8866408040e+02,1.3085813632e-02,8.2232705542e-05
1.9418717841e+02,2.0572317012e+02,1.9987196387e+02,1.3178701041e-02,9.7762122582e-05
2.0572317012e+02,2.1794447538e+02,2.1174566910e+02,1.3544706726e-02,1.1839111972e-04
2.1794447538e+02,2.3089180630e+02,2.2432475029e+02,1.3789043309e-02,1.0080517327e-04
2.3089180630e+02,2.4460829358e+02,2.3765111138e+02,1.4030834166e-02,1.0151436678e-04
2.4460829358e+02,2.5913963014e+02,2.5176914570e+02,1.4560079751e-02,9.1557081563e-05
2.5913963014e+02,2.7453422338e+02,2.6672588384e+02,1.4597565991e-02,9.9743804320e-05
2.7453422338e+02,2.9084335641e+02,2.8257115029e+02,1.5158970361e-02,1.1381155456e-04
2.9084335641e+02,3.0812135887e+02,2.9935772947e+02,1.5505250337e-02,1.1254378342e-04
3.0812135887e+02,3.2642578798e+02,3.1714154153e+02,1.5631430283e-02,1.0397829692e-04
3.2642578798e+02,3.4581762020e+02,3.3598182863e+02,1.5965020655e-02,1.1545004046e-04
3.4581762020e+02,3.6636145440e+02,3.5594135232e+02,1.6283418177e-02,1.1582778151e-04
3.6636145440e+02,3.8812572707e+02,3.7708660260e+02,1.6836331239e-02,1.0592725732e-04
3.8812572707e+02,4.1118294024e+02,3.9948801940e+02,1.7118171166e-02,1.0902072269e-04
4.1118294024e+02,4.3560990307e+02,4.2322022724e+02,1.7287350134e-02,1.1084062819e-04
4.3560990307e+02,4.6148798766e+02,4.4836228384e+02,1.7804728311e-02,1.1904985190e-04
4.6148798766e+02,4.8890340016e+02,4.7499794347e+02,1.8067028398e-02,1.0970170071e-04
4.8890340016e+02,5.1794746792e+02,5.0321593593e+02,1.8088161755e-02,1.1477451793e-04
